STARTED:[2015-02-12|00:00:56]
[2015-02-12|00:35:40];1;17;CELLCOM-GN;READY;COM17
[2015-02-12|00:35:40];1;16;CELLCOM-GN;READY;COM20
[2015-02-12|00:35:41];1;16;CELLCOM-GN;READY;COM22
[2015-02-12|00:35:43];1;17;CELLCOM-GN;READY;COM16
[2015-02-12|00:41:10];1;17;CELLCOM-GN;READY;COM17
[2015-02-12|00:41:10];1;16;CELLCOM-GN;READY;COM20
[2015-02-12|00:41:11];1;16;CELLCOM-GN;READY;COM22
[2015-02-12|00:41:13];1;17;CELLCOM-GN;READY;COM16
[2015-02-12|00:46:40];1;17;CELLCOM-GN;READY;COM17
[2015-02-12|00:46:40];1;16;CELLCOM-GN;READY;COM20
[2015-02-12|00:46:41];1;16;CELLCOM-GN;READY;COM22
[2015-02-12|00:46:43];1;17;CELLCOM-GN;READY;COM16
[2015-02-12|00:52:10];1;16;Cellcom GN;READY;COM20
[2015-02-12|00:52:11];1;15;Cellcom GN;READY;COM17
[2015-02-12|00:52:12];1;16;Cellcom GN;READY;COM22
[2015-02-12|00:52:14];1;15;Cellcom GN;READY;COM16
[2015-02-12|00:57:41];1;16;Cellcom GN;READY;COM20
[2015-02-12|00:57:41];1;15;Cellcom GN;READY;COM17
[2015-02-12|00:57:43];1;16;Cellcom GN;READY;COM22
[2015-02-12|00:57:44];1;15;Cellcom GN;READY;COM16
[2015-02-12|01:03:11];1;12;Cellcom GN;READY;COM20
[2015-02-12|01:03:12];1;12;Cellcom GN;READY;COM17
[2015-02-12|01:03:13];1;12;Cellcom GN;READY;COM22
[2015-02-12|01:03:15];1;12;Cellcom GN;READY;COM16
[2015-02-12|01:08:41];1;12;Cellcom GN;READY;COM20
[2015-02-12|01:08:43];1;12;Cellcom GN;READY;COM17
[2015-02-12|01:08:43];1;12;Cellcom GN;READY;COM22
[2015-02-12|01:08:46];1;12;Cellcom GN;READY;COM16
[2015-02-12|01:14:11];1;12;Cellcom GN;READY;COM20
[2015-02-12|01:14:13];1;12;Cellcom GN;READY;COM17
[2015-02-12|01:14:14];1;12;Cellcom GN;READY;COM22
[2015-02-12|01:14:16];1;12;Cellcom GN;READY;COM16
[2015-02-12|01:19:41];1;12;Cellcom GN;READY;COM20
[2015-02-12|01:19:43];1;12;Cellcom GN;READY;COM17
[2015-02-12|01:19:44];1;12;Cellcom GN;READY;COM22
[2015-02-12|01:19:47];1;12;Cellcom GN;READY;COM16
[2015-02-12|01:25:12];1;12;Cellcom GN;READY;COM20
[2015-02-12|01:25:13];1;12;Cellcom GN;READY;COM17
[2015-02-12|01:25:15];1;12;Cellcom GN;READY;COM22
[2015-02-12|01:25:17];1;12;Cellcom GN;READY;COM16
[2015-02-12|01:35:39];1;12;Cellcom GN;READY;COM20
[2015-02-12|01:35:40];1;12;Cellcom GN;READY;COM16
[2015-02-12|01:35:41];1;12;Cellcom GN;READY;COM17
[2015-02-12|01:35:42];1;12;Cellcom GN;READY;COM22
[2015-02-12|01:41:10];1;12;Cellcom GN;READY;COM20
[2015-02-12|01:41:10];1;12;Cellcom GN;READY;COM16
[2015-02-12|01:41:12];1;12;Cellcom GN;READY;COM17
[2015-02-12|01:41:13];1;12;Cellcom GN;READY;COM22
[2015-02-12|01:46:40];1;16;Cellcom GN;READY;COM20
[2015-02-12|01:46:41];1;15;Cellcom GN;READY;COM16
[2015-02-12|01:46:42];1;15;Cellcom GN;READY;COM17
[2015-02-12|01:46:43];1;16;Cellcom GN;READY;COM22
[2015-02-12|01:52:10];1;16;Cellcom GN;READY;COM20
[2015-02-12|01:52:11];1;15;Cellcom GN;READY;COM16
[2015-02-12|01:52:12];1;15;Cellcom GN;READY;COM17
[2015-02-12|01:52:14];1;16;Cellcom GN;READY;COM22
[2015-02-12|01:57:40];1;16;Cellcom GN;READY;COM20
[2015-02-12|01:57:42];1;15;Cellcom GN;READY;COM16
[2015-02-12|01:57:43];1;15;Cellcom GN;READY;COM17
[2015-02-12|01:57:44];1;16;Cellcom GN;READY;COM22
[2015-02-12|02:03:11];1;16;Cellcom GN;READY;COM20
[2015-02-12|02:03:12];1;15;Cellcom GN;READY;COM16
[2015-02-12|02:03:13];1;15;Cellcom GN;READY;COM17
[2015-02-12|02:03:15];1;16;Cellcom GN;READY;COM22
[2015-02-12|02:08:41];1;16;Cellcom GN;READY;COM20
[2015-02-12|02:08:43];1;15;Cellcom GN;READY;COM16
[2015-02-12|02:08:44];1;15;Cellcom GN;READY;COM17
[2015-02-12|02:08:45];1;16;Cellcom GN;READY;COM22
[2015-02-12|02:14:12];1;16;Cellcom GN;READY;COM20
[2015-02-12|02:14:13];1;15;Cellcom GN;READY;COM16
[2015-02-12|02:14:14];1;15;Cellcom GN;READY;COM17
[2015-02-12|02:14:16];1;16;Cellcom GN;READY;COM22
[2015-02-12|02:19:43];1;12;Cellcom GN;READY;COM20
[2015-02-12|02:19:43];1;12;Cellcom GN;READY;COM16
[2015-02-12|02:19:45];1;12;Cellcom GN;READY;COM17
[2015-02-12|02:19:46];1;12;Cellcom GN;READY;COM22
[2015-02-12|02:25:13];1;12;Cellcom GN;READY;COM20
[2015-02-12|02:25:14];1;12;Cellcom GN;READY;COM16
[2015-02-12|02:25:15];1;12;Cellcom GN;READY;COM17
[2015-02-12|02:25:16];1;12;Cellcom GN;READY;COM22
[2015-02-12|02:35:15];1;12;Cellcom GN;READY;COM22
[2015-02-12|02:35:16];1;12;Cellcom GN;READY;COM16
[2015-02-12|02:35:17];1;12;Cellcom GN;READY;COM20
[2015-02-12|02:40:19];1;12;Cellcom GN;READY;COM22
[2015-02-12|02:40:19];1;12;Cellcom GN;READY;COM16
[2015-02-12|02:40:20];1;12;Cellcom GN;READY;COM20
[2015-02-12|02:48:09];498;COM17;0019543679247;0019543679247;AmerEnglish;polly_game;12;Cellcom GN;READY
[2015-02-12|02:52:54];1;12;Cellcom GN;READY;COM16
[2015-02-12|02:52:54];1;12;Cellcom GN;READY;COM22
[2015-02-12|02:52:54];1;12;Cellcom GN;READY;COM20
[2015-02-12|02:52:56];1;12;Cellcom GN;READY;COM17
[2015-02-12|02:58:24];1;12;Cellcom GN;READY;COM16
[2015-02-12|02:58:25];1;12;Cellcom GN;READY;COM22
[2015-02-12|02:58:25];1;12;Cellcom GN;READY;COM20
[2015-02-12|02:58:26];1;12;Cellcom GN;READY;COM17
[2015-02-12|03:03:54];1;12;Cellcom GN;READY;COM16
[2015-02-12|03:03:55];1;16;Cellcom GN;READY;COM22
[2015-02-12|03:03:56];1;16;Cellcom GN;READY;COM20
[2015-02-12|03:03:57];1;12;Cellcom GN;READY;COM17
[2015-02-12|03:09:24];1;12;Cellcom GN;READY;COM16
[2015-02-12|03:09:26];1;16;Cellcom GN;READY;COM22
[2015-02-12|03:09:27];1;16;Cellcom GN;READY;COM20
[2015-02-12|03:09:28];1;12;Cellcom GN;READY;COM17
[2015-02-12|03:14:55];1;12;Cellcom GN;READY;COM16
[2015-02-12|03:14:56];1;16;Cellcom GN;READY;COM22
[2015-02-12|03:14:57];1;16;Cellcom GN;READY;COM20
[2015-02-12|03:14:58];1;12;Cellcom GN;READY;COM17
[2015-02-12|03:20:17];1;12;Cellcom GN;READY;COM16
[2015-02-12|03:20:18];1;16;Cellcom GN;READY;COM22
[2015-02-12|03:20:20];1;16;Cellcom GN;READY;COM20
[2015-02-12|03:20:21];1;12;Cellcom GN;READY;COM17
[2015-02-12|03:25:20];1;12;Cellcom GN;READY;COM16
[2015-02-12|03:25:22];1;16;Cellcom GN;READY;COM22
[2015-02-12|03:25:23];1;16;Cellcom GN;READY;COM20
[2015-02-12|03:25:24];1;12;Cellcom GN;READY;COM17
[2015-02-12|03:35:12];1;16;Cellcom GN;READY;COM20
[2015-02-12|03:35:13];1;16;Cellcom GN;READY;COM22
[2015-02-12|03:35:14];1;12;Cellcom GN;READY;COM17
[2015-02-12|03:35:14];1;12;Cellcom GN;READY;COM16
[2015-02-12|03:40:15];1;16;Cellcom GN;READY;COM20
[2015-02-12|03:40:16];1;16;Cellcom GN;READY;COM22
[2015-02-12|03:40:17];1;12;Cellcom GN;READY;COM17
[2015-02-12|03:40:17];1;12;Cellcom GN;READY;COM16
[2015-02-12|03:45:18];1;16;Cellcom GN;READY;COM20
[2015-02-12|03:45:19];1;16;Cellcom GN;READY;COM22
[2015-02-12|03:45:19];1;12;Cellcom GN;READY;COM17
[2015-02-12|03:45:20];1;12;Cellcom GN;READY;COM16
[2015-02-12|03:46:14];499;COM?;224666813504;224666813504;GuinFrench;polly_game;0;DELAYED;DELAYED
[2015-02-12|03:50:21];1;16;Cellcom GN;READY;COM20
[2015-02-12|03:50:22];1;11;Cellcom GN;READY;COM17
[2015-02-12|03:50:22];1;16;Cellcom GN;READY;COM22
[2015-02-12|03:50:23];1;11;Cellcom GN;READY;COM16
[2015-02-12|03:55:23];1;16;Cellcom GN;READY;COM20
[2015-02-12|03:55:25];1;14;Cellcom GN;READY;COM17
[2015-02-12|03:55:25];1;16;Cellcom GN;READY;COM22
[2015-02-12|03:55:26];1;14;Cellcom GN;READY;COM16
[2015-02-12|04:00:26];1;16;Cellcom GN;READY;COM20
[2015-02-12|04:00:28];1;14;Cellcom GN;READY;COM17
[2015-02-12|04:00:28];1;16;Cellcom GN;READY;COM22
[2015-02-12|04:00:30];1;14;Cellcom GN;READY;COM16
[2015-02-12|04:05:29];1;16;Cellcom GN;READY;COM20
[2015-02-12|04:05:31];1;14;Cellcom GN;READY;COM17
[2015-02-12|04:05:32];1;16;Cellcom GN;READY;COM22
[2015-02-12|04:05:33];1;14;Cellcom GN;READY;COM16
[2015-02-12|04:10:32];1;16;Cellcom GN;READY;COM20
[2015-02-12|04:10:34];1;14;Cellcom GN;READY;COM17
[2015-02-12|04:10:36];1;16;Cellcom GN;READY;COM22
[2015-02-12|04:10:37];1;14;Cellcom GN;READY;COM16
[2015-02-12|04:15:35];1;16;Cellcom GN;READY;COM20
[2015-02-12|04:15:37];1;14;Cellcom GN;READY;COM17
