STARTED:[2015-02-25|08:28:11]
[EXCEPTION] [2015-02-25|08:28:11] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:11] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:11] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:11] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:11] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:11] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:11] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:11] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:12] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:13] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:13] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:13] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:13] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:13] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:13] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:13] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:13] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:13] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:13] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:13] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:13] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:14] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:14] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:14] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:14] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:14] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:14] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:14] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:14] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:14] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:15] Sending SMS to Tropo...
[EXCEPTION] [2015-02-25|08:28:16] Sending SMS to Tropo...
