STARTED:[2015-02-11|00:00:00]
[2015-02-11|00:05:11];1;12;Cellcom GN;READY;COM22
[2015-02-11|00:05:12];1;11;Cellcom GN;READY;COM16
[2015-02-11|00:05:12];1;11;Cellcom GN;READY;COM17
[2015-02-11|00:05:12];1;12;Cellcom GN;READY;COM20
[2015-02-11|00:10:16];1;12;Cellcom GN;READY;COM22
[2015-02-11|00:10:16];1;11;Cellcom GN;READY;COM16
[2015-02-11|00:10:16];1;11;Cellcom GN;READY;COM17
[2015-02-11|00:10:17];1;12;Cellcom GN;READY;COM20
[2015-02-11|00:15:45];1;11;Cellcom GN;READY;COM22
[2015-02-11|00:15:46];1;11;Cellcom GN;READY;COM16
[2015-02-11|00:15:46];1;11;Cellcom GN;READY;COM17
[2015-02-11|00:15:46];1;11;Cellcom GN;READY;COM20
[2015-02-11|00:21:16];1;11;Cellcom GN;READY;COM22
[2015-02-11|00:21:16];1;11;Cellcom GN;READY;COM16
[2015-02-11|00:21:17];1;11;Cellcom GN;READY;COM20
[2015-02-11|00:21:17];1;11;Cellcom GN;READY;COM17
[2015-02-11|00:26:48];1;16;Cellcom GN;READY;COM22
[2015-02-11|00:26:48];1;14;Cellcom GN;READY;COM16
[2015-02-11|00:26:49];1;16;Cellcom GN;READY;COM20
[2015-02-11|00:26:50];1;14;Cellcom GN;READY;COM17
[2015-02-11|00:35:26];1;11;Cellcom GN;READY;COM20
[2015-02-11|00:35:27];1;11;Cellcom GN;READY;COM22
[2015-02-11|00:35:28];1;10;Cellcom GN;READY;COM17
[2015-02-11|00:35:29];1;10;Cellcom GN;READY;COM16
[2015-02-11|00:36:49];337;COM17;0019543679247;0019543679247;AmerEnglish;polly_game;10;Cellcom GN;READY
[2015-02-11|00:36:58];REQUEST_PENDING;COM17;0019543679247;0019543679247;AmerEnglish;polly_game;11;Cellcom GN;READY
[2015-02-11|00:37:03];REQUEST_PENDING;COM17;0019543679247;0019543679247;AmerEnglish;polly_game;12;Cellcom GN;READY
[2015-02-11|00:37:09];REQUEST_PENDING;COM17;0019543679247;0019543679247;AmerEnglish;polly_game;10;Cellcom GN;READY
[2015-02-11|00:40:58];1;11;Cellcom GN;READY;COM20
[2015-02-11|00:41:01];1;11;Cellcom GN;READY;COM22
[2015-02-11|00:41:03];1;10;Cellcom GN;READY;COM16
[2015-02-11|00:41:17];1;10;Cellcom GN;READY;COM17
[2015-02-11|00:46:29];1;11;Cellcom GN;READY;COM20
[2015-02-11|00:46:31];1;11;Cellcom GN;READY;COM22
[2015-02-11|00:46:34];1;11;Cellcom GN;READY;COM16
[2015-02-11|00:46:47];1;11;Cellcom GN;READY;COM17
[2015-02-11|00:51:59];1;14;Cellcom GN;READY;COM20
[2015-02-11|00:52:02];1;14;Cellcom GN;READY;COM22
[2015-02-11|00:52:05];1;15;Cellcom GN;READY;COM16
[2015-02-11|00:52:18];1;15;Cellcom GN;READY;COM17
[2015-02-11|00:57:29];1;12;Cellcom GN;READY;COM20
[2015-02-11|00:57:33];1;12;Cellcom GN;READY;COM22
[2015-02-11|00:57:35];1;12;Cellcom GN;READY;COM16
[2015-02-11|00:57:49];1;12;Cellcom GN;READY;COM17
[2015-02-11|01:05:41];1;12;Cellcom GN;READY;COM20
[2015-02-11|01:05:42];1;12;Cellcom GN;READY;COM16
