STARTED:[2015-03-05|00:03:02]
[2015-03-05|00:35:34];1;14;Cellcom GN;READY;COM24
[2015-03-05|00:35:35];1;14;Cellcom GN;READY;COM26
[2015-03-05|00:41:03];1;14;Cellcom GN;READY;COM24
[2015-03-05|00:41:04];1;14;Cellcom GN;READY;COM26
[2015-03-05|00:46:32];1;14;Cellcom GN;READY;COM24
[2015-03-05|00:46:34];1;14;Cellcom GN;READY;COM26
[2015-03-05|00:52:02];1;14;Cellcom GN;READY;COM24
[2015-03-05|00:52:03];1;14;Cellcom GN;READY;COM26
[2015-03-05|00:57:31];1;14;Cellcom GN;READY;COM24
[2015-03-05|00:57:33];1;14;Cellcom GN;READY;COM26
[2015-03-05|01:03:01];1;14;Cellcom GN;READY;COM24
[2015-03-05|01:03:02];1;14;Cellcom GN;READY;COM26
[2015-03-05|01:08:30];1;14;Cellcom GN;READY;COM24
[2015-03-05|01:08:32];1;14;Cellcom GN;READY;COM26
[2015-03-05|01:14:00];1;14;Cellcom GN;READY;COM24
[2015-03-05|01:14:01];1;14;Cellcom GN;READY;COM26
[2015-03-05|01:19:29];1;14;Cellcom GN;READY;COM24
[2015-03-05|01:19:31];1;14;Cellcom GN;READY;COM26
[2015-03-05|01:24:58];1;14;Cellcom GN;READY;COM24
[2015-03-05|01:25:00];1;14;Cellcom GN;READY;COM26
[2015-03-05|01:35:35];1;14;Cellcom GN;READY;COM26
[2015-03-05|01:35:35];1;14;Cellcom GN;READY;COM24
[2015-03-05|01:41:04];1;14;Cellcom GN;READY;COM26
[2015-03-05|01:41:05];1;14;Cellcom GN;READY;COM24
[2015-03-05|01:46:34];1;14;Cellcom GN;READY;COM26
[2015-03-05|01:46:34];1;14;Cellcom GN;READY;COM24
[2015-03-05|01:52:03];1;14;Cellcom GN;READY;COM26
[2015-03-05|01:52:04];1;14;Cellcom GN;READY;COM24
[2015-03-05|01:57:32];1;14;Cellcom GN;READY;COM26
[2015-03-05|01:57:33];1;14;Cellcom GN;READY;COM24
[2015-03-05|02:03:02];1;14;Cellcom GN;READY;COM26
[2015-03-05|02:03:03];1;14;Cellcom GN;READY;COM24
[2015-03-05|02:08:31];1;14;Cellcom GN;READY;COM26
[2015-03-05|02:08:33];1;14;Cellcom GN;READY;COM24
[2015-03-05|02:14:01];1;13;Cellcom GN;READY;COM26
[2015-03-05|02:14:02];1;13;Cellcom GN;READY;COM24
[2015-03-05|02:19:30];1;13;Cellcom GN;READY;COM26
[2015-03-05|02:19:32];1;13;Cellcom GN;READY;COM24
[2015-03-05|02:25:00];1;13;Cellcom GN;READY;COM26
[2015-03-05|02:25:01];1;13;Cellcom GN;READY;COM24
[2015-03-05|02:35:34];1;13;Cellcom GN;READY;COM24
[2015-03-05|02:35:35];1;13;Cellcom GN;READY;COM26
[2015-03-05|02:41:03];1;13;Cellcom GN;READY;COM24
[2015-03-05|02:41:04];1;13;Cellcom GN;READY;COM26
[2015-03-05|02:46:33];1;13;Cellcom GN;READY;COM24
[2015-03-05|02:46:34];1;13;Cellcom GN;READY;COM26
