STARTED:[2015-02-16|00:04:47]
[2015-02-16|02:25:21];1;11;Cellcom GN;READY;COM17
[2015-02-16|02:35:38];1;13;Cellcom GN;READY;COM20
[2015-02-16|02:35:40];1;11;Cellcom GN;READY;COM16
[2015-02-16|02:35:41];1;11;Cellcom GN;READY;COM17
[2015-02-16|02:35:43];1;13;Cellcom GN;READY;COM22
[2015-02-16|02:41:09];1;13;Cellcom GN;READY;COM20
[2015-02-16|02:41:11];1;11;Cellcom GN;READY;COM16
[2015-02-16|02:41:12];1;11;Cellcom GN;READY;COM17
[2015-02-16|02:41:13];1;13;Cellcom GN;READY;COM22
[2015-02-16|02:46:39];1;13;Cellcom GN;READY;COM20
[2015-02-16|02:46:41];1;11;Cellcom GN;READY;COM16
[2015-02-16|02:46:42];1;11;Cellcom GN;READY;COM17
[2015-02-16|02:46:44];1;13;Cellcom GN;READY;COM22
[2015-02-16|02:52:09];1;13;Cellcom GN;READY;COM20
[2015-02-16|02:52:11];1;11;Cellcom GN;READY;COM16
[2015-02-16|02:52:13];1;11;Cellcom GN;READY;COM17
[2015-02-16|02:52:14];1;13;Cellcom GN;READY;COM22
[2015-02-16|02:57:39];1;13;Cellcom GN;READY;COM20
[2015-02-16|02:57:41];1;11;Cellcom GN;READY;COM16
[2015-02-16|02:57:43];1;11;Cellcom GN;READY;COM17
[2015-02-16|02:57:44];1;13;Cellcom GN;READY;COM22
[2015-02-16|03:03:10];1;16;Cellcom GN;READY;COM20
[2015-02-16|03:03:12];1;15;Cellcom GN;READY;COM16
[2015-02-16|03:03:13];1;15;Cellcom GN;READY;COM17
[2015-02-16|03:03:15];1;16;Cellcom GN;READY;COM22
[2015-02-16|03:08:40];1;17;Cellcom GN;READY;COM20
[2015-02-16|03:08:42];1;15;Cellcom GN;READY;COM16
[2015-02-16|03:08:43];1;15;Cellcom GN;READY;COM17
[2015-02-16|03:08:45];1;17;Cellcom GN;READY;COM22
[2015-02-16|03:14:10];1;16;Cellcom GN;READY;COM20
[2015-02-16|03:14:12];1;15;Cellcom GN;READY;COM16
[2015-02-16|03:14:14];1;15;Cellcom GN;READY;COM17
[2015-02-16|03:14:15];1;16;Cellcom GN;READY;COM22
[2015-02-16|03:19:40];1;11;Cellcom GN;READY;COM20
[2015-02-16|03:19:42];1;15;Cellcom GN;READY;COM16
[2015-02-16|03:19:44];1;15;Cellcom GN;READY;COM17
[2015-02-16|03:19:46];1;11;Cellcom GN;READY;COM22
[2015-02-16|03:25:11];1;12;Cellcom GN;READY;COM20
[2015-02-16|03:25:12];1;11;Cellcom GN;READY;COM16
[2015-02-16|03:25:15];1;11;Cellcom GN;READY;COM17
[2015-02-16|03:25:17];1;12;Cellcom GN;READY;COM22
[2015-02-16|03:35:39];1;12;Cellcom GN;READY;COM22
[2015-02-16|03:35:40];1;11;Cellcom GN;READY;COM16
[2015-02-16|03:35:41];1;12;Cellcom GN;READY;COM20
[2015-02-16|03:35:43];1;11;Cellcom GN;READY;COM17
[2015-02-16|03:41:10];1;12;Cellcom GN;READY;COM22
[2015-02-16|03:41:10];1;11;Cellcom GN;READY;COM16
[2015-02-16|03:41:11];1;12;Cellcom GN;READY;COM20
[2015-02-16|03:41:14];1;11;Cellcom GN;READY;COM17
[2015-02-16|03:46:40];1;12;Cellcom GN;READY;COM22
[2015-02-16|03:46:41];1;11;Cellcom GN;READY;COM16
[2015-02-16|03:46:42];1;12;Cellcom GN;READY;COM20
[2015-02-16|03:46:45];1;11;Cellcom GN;READY;COM17
[2015-02-16|03:52:10];1;15;Cellcom GN;READY;COM22
[2015-02-16|03:52:11];1;11;Cellcom GN;READY;COM16
[2015-02-16|03:52:13];1;15;Cellcom GN;READY;COM20
[2015-02-16|03:52:16];1;11;Cellcom GN;READY;COM17
[2015-02-16|03:57:42];1;11;Cellcom GN;READY;COM16
[2015-02-16|03:57:42];1;12;Cellcom GN;READY;COM22
[2015-02-16|03:57:43];1;12;Cellcom GN;READY;COM20
[2015-02-16|03:57:48];1;11;Cellcom GN;READY;COM17
[2015-02-16|04:03:12];1;12;Cellcom GN;READY;COM22
[2015-02-16|04:03:12];1;11;Cellcom GN;READY;COM16
[2015-02-16|04:03:14];1;12;Cellcom GN;READY;COM20
[2015-02-16|04:03:19];1;11;Cellcom GN;READY;COM17
[2015-02-16|04:08:42];1;12;Cellcom GN;READY;COM22
[2015-02-16|04:08:43];1;11;Cellcom GN;READY;COM16
[2015-02-16|04:08:44];1;12;Cellcom GN;READY;COM20
[2015-02-16|04:08:50];1;11;Cellcom GN;READY;COM17
[2015-02-16|04:14:13];1;13;Cellcom GN;READY;COM22
[2015-02-16|04:14:15];1;13;Cellcom GN;READY;COM20
[2015-02-16|04:14:15];1;11;Cellcom GN;READY;COM16
[2015-02-16|04:14:21];1;11;Cellcom GN;READY;COM17
[2015-02-16|04:19:43];1;13;Cellcom GN;READY;COM22
[2015-02-16|04:19:45];1;13;Cellcom GN;READY;COM20
[2015-02-16|04:19:46];1;11;Cellcom GN;READY;COM16
[2015-02-16|04:19:52];1;11;Cellcom GN;READY;COM17
[2015-02-16|04:25:13];1;13;Cellcom GN;READY;COM22
[2015-02-16|04:25:16];1;13;Cellcom GN;READY;COM20
[2015-02-16|04:25:17];1;11;Cellcom GN;READY;COM16
[2015-02-16|04:25:23];1;11;Cellcom GN;READY;COM17
[2015-02-16|04:35:40];1;13;Cellcom GN;READY;COM20
[2015-02-16|04:35:40];1;13;Cellcom GN;READY;COM22
[2015-02-16|04:35:40];1;11;Cellcom GN;READY;COM16
[2015-02-16|04:35:44];1;11;Cellcom GN;READY;COM17
[2015-02-16|04:41:11];1;16;Cellcom GN;READY;COM22
[2015-02-16|04:41:11];1;16;Cellcom GN;READY;COM20
[2015-02-16|04:41:13];1;15;Cellcom GN;READY;COM16
