STARTED:[2015-04-07|14:33:37]
[EXCEPTION] [2015-04-07|14:33:37] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:33:47] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:33:57] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:19] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:20] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:21] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:22] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:23] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:24] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:25] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:26] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:27] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:28] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:29] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:30] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:31] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:32] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:33] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:34] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:35] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:36] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:37] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:38] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:39] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:40] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:41] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:42] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:43] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:44] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:45] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:46] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:47] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:48] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:49] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:50] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:51] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:52] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:53] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:54] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:55] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:56] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:57] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:58] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:34:59] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:00] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:01] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:02] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:03] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:04] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:05] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:06] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:07] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:08] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:09] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:10] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:11] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:12] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:13] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:14] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:15] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:16] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:17] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:18] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:19] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:20] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:21] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:22] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:24] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:25] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:26] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:27] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:28] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:29] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:30] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:31] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:32] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:33] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:34] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:35] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:36] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:37] Sending SMS to Tropo...
[EXCEPTION] [2015-04-07|14:35:38] Sending SMS to Tropo...
